,comment,sentiment
21,맛있다! 달고 고소한 향이 나서 기분까지 좋아지는 느낌이에요.,1
22,달콤함이 입안에서 터지는 게 완전 행복 그 자체! 다른 것보다 달달해서 더 좋음.,1
23,"달아요, 달아! 가격 대비 이 퀄리티면 매일 먹어도 안 질릴 듯! ㅋㅋ",1
24,진짜 달고 맛있음! 비주얼도 압도적이라 눈과 입이 동시에 즐거운 경험이었어요. 💖,1
25,달달해서 행복함ㅋㅋ 스트레스 한 방에 날리는 중임!,1
26,진짜 이 정도로 달달한 거 처음이야. 향기까지 달콤해서 먹기 전부터 기분 좋아지는구나.,1
27,"달아서 기분 최고! 가격도 괜찮고, 향도 좋고, 비주얼까지 완벽하네. 다른 것보다 훨씬 만족스러움!",1
28,달콤한 향기까지 완전 취향저격! 다른 것보다 더 달아서 입안 가득 행복이 차오름 ㅎㅎ,1
29,"달고나 보다 더 달고, 부드러워서 입에 넣자마자 사르르 녹음. 달달함이 이 정도면 진짜 최고지!",1
30,적당히 매워서 계속 먹을 수 있음 ㅋㅋ 완전 내 취향 저격임!,1
31,맵찔이도 걱정 1도 없음. 매운 거 좋아하는 나한테도 딱 적당히 매워서 맛있더라구요! 가격도 합리적이라 지갑도 안 아픔.,1
32,"적당히 매운 맛이 딱이네. 너무 자극적이지 않아서 그냥 먹기에도 부담 없고, 비주얼도 깔끔해서 사진 찍기 좋음.",1
33,매운 정도가 적당해서 맵찔이들한테도 추천 가능! 맛도 향도 조화로워서 최고임!,1
34,"진짜 적당히 매워서 딱 좋음. 너무 맵지도 않고, 그렇다고 싱겁지도 않아서 완전 내 스타일임!",1
35,"적당히매워서 먹기 딱 좋음! 너무 맵지도 않고, 가볍게 즐기기 좋다니까요!",1
36,이거 진짜 적당히매워서 부담 없이 계속 먹게 됨. 가격도 괜찮아서 가성비 굿!,1
37,적당히매워서 그런지 먹으면서도 계속 손이 가더라구요. 맵지만 자극적이지 않아서 오히려 더 맛있게 느껴져요.,1
38,"와, 적당히매운 게 포인트네! 다른 거보다 자극적이지 않아서 오히려 매력적임. 비주얼도 완전 예쁨!",1
39,"적당히매워서 먹기 딱 좋은듯. 비주얼도 깔끔하고, 맛도 기대 이상이라 완전 대만족! ㅎㅎ",1
40,매운 거 못 먹는 사람도 적당히 매워서 부담 없이 즐길 수 있더라~ 진짜 존맛탱!,1
41,적당히 매워서 그런지 먹고 나서도 입안이 깔끔하고 좋더라구요! 다른 디저트들은 더 매웠는데 이건 딱 적당해서 좋아요ㅎㅎ,1
42,매운 음식 잘 못 먹는데 적당히 매워서 딱 좋았음! 덕분에 비주얼도 화려해서 눈도 즐거웠음ㅋㅋ,1
43,적당히 매워서 먹기 부담스럽지 않아요. 너무 매운 거 싫어하는 사람들에게 딱 좋은 선택이에요. 향도 매콤한데 고급스러움이 있어요.,1
44,"진짜 적당히 매운 게 별미다. 너무 안 매워서 심심하지도 않고, 너무 매워서 혀가 아프지도 않아서 완전 대박임.",1
45,짱짜서 먹다가 물 ㅈㄴ 마셨음... 물값 더 나옴 ㅋㅋ,0
46,솔직히 짱짜서 먹다가 혀 마비 올 뻔 ㄷㄷ 다른 거 먹는 게 나을 듯.,0
47,"짱짜서 황당함. 중간에 포기하고 말았어요. 다른 맛은 나쁘지 않았지만, 짠맛이 너무 강해서 전체적인 맛을 망쳤습니다.",0
48,"와, 짱짜서 소금 뿌린 줄 알았음. 진짜 이 정도로 짠 건 처음이야 ㅠㅠ 다른 디저트는 이런 느낌 아니었는데.",0
49,"짱짜면 그냥 짠 걸로 끝내지 왜 이렇게 짜냐... 비주얼은 괜찮았는데 짠맛이 너무 강해서 좀 실망했음. 다른 건 먹어볼 만했는데, 이건 아닌 듯.",0
50,짱짜다... 염분 폭탄 ㅠㅠ 먹고 나서 물 찾게 됨.,0
51,진짜 짜서 눈물 날 뻔했음. 이거 먹고 나니 다른 거 다 싱겁게 느껴짐.,0
52,짠맛이 너무 강해서 다른 맛들은 다 사라짐. 디저트는 달아야 제맛인데 ㅜㅜ,0
53,ㄹㅇ 짱짜서 입안에 소금 뿌린 기분. 비주얼은 예쁜데 맛은 실망이야.,0
54,완전 짜다! 가격도 비싼데 맛도 별로라니... 다른 거 먹을걸.,0
55,짱짜다... 입안에서 폭풍이 일어나네 ㅜㅜ,0
56,이거 너무 짜서 다른 맛이 안 느껴짐. 염전에서 먹는 기분이야.,0
57,"짱짜다! 밸런스가 완전 아쉬웠어요. 비주얼은 예쁜데, 한 번 먹고 물 찾았어요. 가격 대비 만족도는 좀 부족한 듯 ㅠㅠ",0
58,"짠맛 제대로임. 단짠단짠을 기대했는데, 단맛은 어디 갔냐고.",0
59,"짱짜다 ㄷㄷ, 다른 디저트들보다 짜서 나한텐 별로였음. 맛보다는 비주얼에 집중한 듯한 느낌이야.",0
60,좀 맵다면서? 오히려 좋아! 매운맛 덕분에 단맛이 더 살아나는 느낌. 디저트에서 이런 반전 매력 찾기 힘들지 않음?,1
61,"매콤달콤의 조화가 ㄹㅇ 미쳤다. 처음엔 좀 맵다 싶었는데, 먹을수록 중독적이야. 비주얼도 넘 감각적이라 먹기 아까움ㅋㅋ",1
62,"좀 맵다는데, 그게 더 매력임. 매운 거 좋아하는 사람한텐 꿀템일 듯. 가격도 착해서 부담 없고, 향도 넘 좋음!",1
63,"좀 맵다니깐 괜히 긴장했는데, 은근히 중독적이라서 자꾸 손이 가네. 매운맛 덕에 단맛이 더 깊이 느껴져서 신기함.",1
64,"매운맛이 좀 있긴 한데, 그게 오히려 맛을 더 풍부하게 만들어줌. 완전 신선한 조합이라서 하나도 안 질려요!",1
65,"와, 이거 좀 맵다! 하지만 맵찔이도 도전할 만한 맛이야. 매운맛 덕분에 더 맛있어짐. 😂",1
66,살짝 매콤한 맛이 입맛을 확 살려주네요. 단맛과 매운맛의 밸런스가 완벽해서 자꾸 손이 가요. 가격도 이 정도면 괜찮은 듯!,1
67,좀 맵다 싶었는데 그게 또 매력임. 다른 것보다 더 중독성 있는 맛이라서 계속 찾게 돼!,1
68,살짝 맵긴 한데 그게 오히려 더 맛있게 느껴져요! 매운 뒤끝이 깔끔해서 계속 먹어도 질리지가 않네요.,1
69,"이게 좀 맵다고? 완전 내 스타일! 비주얼도 상큼하고, 가격 대비 퀄리티가 넘사벽이라 ㄹㅇ 강추합니다. 😋",1
70,"좀 맵긴 한데, 그게 이 디저트의 매력임! 매운맛 좋아하는 사람들한테는 완전 취향 저격일 듯ㅋㅋ",1
71,맵긴 한데 그게 오히려 더 중독성 있음. 달콤한 맛이랑 매운 향이 조화로워서 계속 손이 가더라구요. 가격도 부담스럽지 않아서 더 좋았어요!,1
72,처음엔 좀 맵다 싶었는데 먹다 보니까 그 매운맛에 빠져버림. 달콤한 디저트보다 이런 매콤한 게 더 취향저격임!,1
73,"매운 디저트를 처음 먹어봤는데, 생각보다 맛있어서 놀람! 비주얼도 신기하고, 매운향이 은근히 매력적이더라구요.",1
74,좀 맵긴 한데 그게 오히려 더 맛있음ㅋㅋ 매운 거 못 먹는 사람도 도전해볼 만한 맛이야. 가격도 괜찮아서 부담 없었음!,1
75,좀맵다... 이게 디저트 맞냐? ㅜㅜ,0
76,맵다기보단 쓴맛이랑 싸워야 함. 별로...,0
77,매운맛 때문에 다른 맛 다 묻힘. 비주얼은 괜찮은데ㅠㅠ,0
78,"매운 거 잘 먹는 사람은 도전해볼 만한데, 난 실패. 맛이 너무 세서 디저트라기보단 벌칙 음식 같았음. 가격도 비싼데 이 정도 퀄은 좀...",0
79,"매운 건 좋아하지만, 이건 좀... 향도 별로고, 가격 대비 실망스러웠음. 차라리 다른 디저트 먹는 게 나을 듯.",0
80,좀맵다... 매운 거 잘 못 먹는 사람에겐 지옥임 ㅜㅜ,0
81,"매운맛 좋아하면 괜찮겠지만, 난 좀맵다구 ㅋㅋ 비주얼은 예쁜데 맛은 별로였음.",0
82,"생각보다 좀맵다 ㅠㅠ 그냥 적당한 단맛 기대했는데, 매운맛 강해서 놀람... 가격도 좀 비싼데 이건 아님.",0
83,"매운 거 찾다가 이거 먹어봤는데, 좀맵다... 매운맛 덕후 아니면 추천 못함. 향이 쎄서 맛까지 지배하는 느낌이랄까.",0
84,"솔직히 좀맵다 수준이 아니라 매운맛 끝판왕임. 가격 대비 비주얼은 좋은데, 맛 때문에 다시는 안 사먹을 듯.",0
85,좀맵다라는 말이 좀 심한 듯? ㅜㅜ 달달한 디저트 기대했는데 매운맛이 훅 들어와서 당황했음.,0
86,맵다니... 디저트는 달콤해야 하는데 이건 좀 아닌 듯. 맛보다 매운 향이 더 강해서 아쉬워요.,0
87,와 진짜 좀맵다! 이게 디저트인지 아닌지 헷갈릴 정도로 맵다니... 달달한 맛을 찾아 떠나야 할 듯 ㅋㅋ.,0
88,좀맵다라고 해서 놀랐음. 디저트가 왜 매워야 하는지 이해 불가. 비주얼은 이쁜데 맛은 아쉬웠음.,0
89,매운맛이 너무 세서 이 디저트 먹으면서 눈물 날 뻔했음 ㅋㅋ 달콤한 맛을 기대했는데 좀맵다니 실망했어.,0
90,완전짜다... 진짜 소금 먹는 줄ㅋㅋ 먹다 남긴 건 첨임.,0
91,"이거 먹고 나서 물 한 통 순삭했음. 너무 짜서 맛 구별이 안 되더라구요. 가격도 싼 편은 아니었는데, 다음엔 다른 거 먹어야겠어요.",0
92,짠맛이 지배적이라 다른 맛은 아예 안 느껴짐ㅠㅠ,0
93,"비주얼은 괜찮은데, 완전짜다. 먹기 힘들 정도라니, 다음엔 좀 덜 짜게 만들어줬으면 좋겠음.",0
94,"한 입 먹고 나서 고개 자동으로 갸웃... 이게 디저트야? 완전짜다니, ㄹㅇ 실망스러움.",0
95,완전짜다... 이거 진짜 짠맛에 미각이 놀람. ㅜㅜ,0
96,완전짜다... 설탕 대신 소금 넣은 줄? 디저트가 아닌 짠 과자 같음.,0
97,이거 완전짜다... 달달한 거 기대했는데 소금을 먹는 느낌이라니. 비주얼은 괜찮은데 맛이 아쉬워.,0
98,완전짜다... 이런 짠 디저트 처음이야. 가격도 싼 편 아닌데 이건 좀.,0
99,진짜 완전짜다. 기대했던 달콤함은 어디 가고 소금 폭탄이 왔네. 가격도 저렴하지 않아서 실망했음.,0
100,"와, 이거 진짜 대박 짜다. 도대체 얼마나 소금을 넣은 거야? ㅜㅜ",0
101,솔직히 너무 짜서 도저히 못 먹겠음. 비주얼은 괜찮은데 맛이 완전 반전임 ㅠㅠ,0
102,"가격은 착한데, 맛이 너무 짜서 실망이야. 다른 거 먹을걸...",0
103,완전짜다 못해 입안이 소금밭 된 느낌... 향은 괜찮은데 이건 좀 심했음.,0
104,진짜 심하게 짜다. 다음엔 덜 짠 버전으로 부탁해요. 그래도 비주얼은 예뻤어요!,0
105,"와, 진짜 대박맵다... 먹다가 눈물 남 ㅜㅜ 너무 매워서 다시는 못 먹을 듯.",0
106,대박맵다! 매운 거 잘 먹는 나도 손 떨림 ㄷㄷ 가격 대비 맛없어서 비추.,0
107,대박맵다는 말이 딱이네... 향도 별로고 맛도 그냥 매운맛뿐이라 실망임.,0
108,아니 이렇게 대박맵다니... 비주얼은 예쁜데 매운맛이 다 망쳤음. 다른 거 먹을 걸 그랬어.,0
109,매운 거 좋아하는 사람한테도 대박맵다 싶을 정도. 솔직히 먹고 또 사 먹을 생각 안 드네요.,0
110,대박맵다... 너무 매워서 눈물 난다ㅠㅠ,0
111,이거 진짜 대박맵다! 먹자마자 불이 나오는 줄 알았어... 맛이 전혀 안 느껴져ㅠ,0
112,대박맵다 수준이 아니라 매운맛에 맛이 가려져서 먹고 나면 입안이 얼얼하기만 하네. 색깔은 예쁜데 맛은 그닥... 좀 덜 맵게 해줬으면 좋겠다.,0
113,"와, 대박맵다! 매운 거 잘 먹는 나도 포크 놓고 싶어질 정도임. 비주얼은 존맛탱인데...ㅠ",0
114,매운 거 좋아하는데 이건 대박맵다 수준을 넘어서서 고문임 ㅋㅋ 먹고 나면 얼굴이 빨개짐. 좀 더 덜 맵게 해주면 좋을 듯.,0
115,와... 진짜 대박맵다. 이거 먹고 나서 입안이 불난 줄 알았음 ㅜㅜ,0
116,"처음엔 괜찮았는데, 먹을수록 대박맵다... 눈물 줄줄 ㅠㅠ 다음엔 덜 매운 걸로 도전해야겠음.",0
117,대박맵다. 맵찔이인 나에겐 고문 같은 맛... 이거 먹고 나니까 다른 음식이 다 순한맛 같아짐.,0
118,대박맵다니깐 진짜 조심하세요. 매운 거 잘 먹는다는 친구도 못 먹겠다고 하더라구요. 맛은 괜찮은데 너무 매워서 제대로 못 즐긴 거 같아요.,0
119,"대박맵다 진짜... 먹는 내내 땀 뻘뻘, 얼굴 빨개짐. 비주얼은 짱인데 내 혀는 살아남지 못했음 ㅠㅠ",0
120,살짝 짜서 더 맛있음! 단짠단짠의 조화가 ㄹㅇ 최고임 ㅋㅋ,1
121,살짝 짠 맛이 매력적이에요. 달달한 디저트와의 조화가 완전 예술입니다. 가격도 부담스럽지 않아서 가성비가 좋아요. 강추!,1
122,짠맛 덕분에 다른 디저트보다 감칠맛이 더 살아남. 살짝 짜니까 딱 좋음!,1
123,"살짝 짠데 그게 포인트임. 너무 달지 않아서 먹기 좋고, 비주얼도 짱 예쁨!",1
124,"살짝 짠 맛 덕에 단맛이 더 잘 느껴져서 좋네요. 이 조합, 다른 디저트보다 훨씬 맛있어요. 진짜 강추요!",1
125,살짝 짠맛 덕분에 달달한 맛이 더 잘 살아남. 진짜 밸런스 끝판왕임 ㅋㅋ,1
126,조금 짜지만 그게 오히려 이 디저트의 매력을 높여주는 듯해요. 달달하면서 짭조름한 맛의 조화가 기막히네요.,1
127,짭짤함이 살짝 더해져서 더 맛있어졌음! 달달함이랑 조합이 ㄹㅇ 미쳤다.,1
128,"살짝 짠데, 그 덕분에 달콤함이 더 부각되는 느낌! 심심하지 않아서 좋더라구요.",1
129,살짝 짠맛이 첨가되니까 더 맛있어짐. 단맛보다 더 매력적이라 계속 손이 가네 ㅎㅎ,1
130,살짝 짠맛이 딱 내 스타일! 다른 것보다 더 끌려서 자꾸 손이 가네 ㅋㅋ 비주얼도 짱임!,1
131,살짝 짠데 이게 오히려 더 중독적이야. 달콤함이랑 조화가 오져서 하나 먹으면 멈출 수가 없네.,1
132,짭짤해서 더 맛있음. 진짜 이 맛은 다른 데서 못 찾음 ㅜㅜ 가격도 적당해서 가성비 굿!,1
133,살짝 짠 게 매력 포인트임. 다른 곳보다 확실히 개취저! 향도 아주 좋아서 기분까지 업업!,1
134,"딱 적당히 짠맛이 나니까 더 맛있는 거 같아. 비주얼도 예쁘고, 다른 디저트랑 비교하면 훨씬 독특한 느낌!",1
135,"살짝 짠데, ㄹㅇ 설탕 아끼는 느낌... 다음엔 안 사먹을 듯.",0
136,살짝 짜서 그런지 단맛이 잘 안 느껴져서 아쉬웠어요. 다른 제품보다 확실히 맛이 떨어지네요. ㅜㅜ,0
137,짠맛이 살짝 있는데 달달한 맛 기대한 사람한테는 꽝임. 다음엔 다른 걸로 가야지.,0
138,"살짝 짠 게 오히려 독특할 줄 알았는데, 그냥 짠맛만 강해서 아쉬웠어요. 비주얼은 괜찮았지만, 맛에서 실망했어요.",0
139,살짝 짠 게 뭔가 균형이 안 맞아서 그런지 별로였음. 다른 거 먹을걸. ㅠㅠ,0
140,맛이 살짝 짜다... 더 달콤할 줄 알았는데 기대와는 좀 다르네.,0
141,살짝 짜다니... 다른 곳보다 짠맛이 더 나네. 좀 아쉬움. ㅜㅜ,0
142,"비주얼은 꽤 괜찮은데, 먹어보니까 살짝 짜다. 가격 대비 기대했던 맛이 아님...",0
143,살짝 짜다 보니까 단맛이 덜 느껴져서 별로였다. 다른 디저트가 훨 나았음.,0
144,"살짝 짜다니, 디저트에서 이러면 안 되지! 단맛 부족해서 실망이었음.",0
145,살짝 짠 건가? ㅜㅜ 좀 덜 짜면 좋겠는데...,0
146,"가격은 괜찮은데 살짝 짠 맛이 아쉽네요. 비주얼은 훌륭했지만, 맛이 좀 덜 만족스러웠어요.",0
147,"아니, 이거 왜 이리 짜지? 디저트는 달달해야 제맛인데 말이야.",0
148,살짝 짜다보니 한 입 먹고 물 찾고 있음... 다른 디저트가 더 나을 듯.,0
149,"짠맛이 강해서 향도 제대로 못 느끼겠음. 비주얼은 괜찮았지만, 맛이 별로라 실망이네요.",0
150,핵맵다... 이건 그냥 혀가 감각을 잃어버리는 수준임 ㅜㅜ,0
151,이거 먹고 나서 입안에 불난 줄 알았음. 솔직히 너무 과했음.,0
152,"맵찔이들 주의! 맛보다는 매운맛에 집중된 느낌이라 좀 아쉬웠어요. 비주얼은 예뻤지만, 매운맛이 너무 강해서 다른 맛을 느끼기 힘들었어요. 가격 대비 만족감은 떨어지네요.",0
153,매운거 좋아하는 나도 이건 좀 심했음... 뭔가 간이 부족한 느낌이었음.,0
154,핵매운 느낌에 비해 맛은 별로 없어서 실망했어요. 매운맛만 강조해서 다른 매력은 전혀 없더라고요. 기대보다 아쉬운 결과였습니다.,0
155,핵맵다... 입에서 불 나는 줄 알았음. ㄹㅇ 다시는 못 먹겠음.,0
156,매운 거 잘 먹는데 이건 정말 핵맵다... 진짜 눈물 줄줄.,0
157,핵맵다 수준이 아니라 그냥 고문임. 다른 거랑 비교 불가. ㅠㅠ,0
158,너무 핵맵다! 맛이고 뭐고 느낄 새도 없이 입이 아픔. 비주얼은 괜찮은데 맛은 아니야.,0
159,존맛탱 기대했는데 핵맵다 때문에 맛은커녕 향도 못 느꼈음... 돈 아까움.,0
160,와... 핵맵다. 입에서 불 나는 줄. ㅜㅜ,0
161,이거 먹고 나면 입 안이 전쟁터임. 진짜 너무 매워서 다시는 못 먹겠다.,0
162,핵맵다니 딱 맞는 표현이네. 이건 매운 음식의 끝판왕이라서 먹기 힘들어.,0
163,진짜 핵맵다... 매워도 너무 매워서 다른 맛이 안 느껴져서 아쉬웠어요.,0
164,다른 매운 음식보다 훨씬 맵다. 매운 거 잘 먹는 나도 포기함.,0
165,대박달아서 행복함ㅋㅋ 진짜 달달함 끝판왕이네!,1
166,"와, 진짜 대박달아요! 처음에 한 입 먹었는데, 단맛이 입안 가득 퍼져서 기분까지 좋아졌어요. 다른 디저트보다 훨씬 달달해서 당 충전엔 최고인 듯!",1
167,대박달아요! 찐으로 달콤해서 스트레스가 싹 날아가네요.,1
168,"이건 진짜 대박달아요. 다른 디저트랑 비교하면 단맛이 훨씬 강하고, 비주얼도 예뻐서 눈도 즐겁고 입도 즐겁고 완전 일석이조임!",1
169,"대박달아요! 가성비도 괜찮고, 다른 브랜드보다 훨씬 달고 맛있음. ㅇㅈ? ㅎㅎ",1
170,대박달다! 진짜 입안에서 폭풍 설탕 파티임 ㅋㅋ 이 정도면 단 거 땡길 때 딱이야!,1
171,"와, 이거 대박달아요. 한 입 먹고 완전 반했어요. 달콤한 향이 입안 가득 퍼지면서 기분까지 좋아지더라고요. 비주얼도 예쁘고 가격도 합리적이라 자주 사먹게 될 듯!",1
172,달달함의 끝판왕! 다른 디저트들보다 훨씬 만족스러워요. 완전 찐 달달함!,1
173,대박달다! 먹자마자 설탕 폭탄 맞은 줄 알았음 ㅋㅋ 근데 질리지 않는 달달함이라 계속 손이 가네.,1
174,"달콤함이 진짜 대박이에요. 다른 제품들보다 더 달아서 디저트로 딱인데, 비주얼도 화려해서 선물하기에도 좋아요!",1
175,대박달아서 행복 터짐 ㅋㅋ 진짜 달달구리의 끝판왕이네!,1
176,대박달아요! 달콤한 향이랑 비주얼까지 완벽해서 먹자마자 기분이 좋아졌어요. 가격도 생각보다 괜찮아서 완전 득템한 느낌!,1
177,이거 대박달아서 스트레스 풀림 ㅋㅋ 다른 거랑 비교 불가!,1
178,대박달아요. 진짜 달콤해서 먹는 순간 기분이 확 좋아지네요. 비주얼도 예뻐서 눈까지 즐거움!,1
179,대박달아요 ㅋㅋㅋ 다른 거랑 비교하면 이건 신세계임! 완전 단 거 땡길 때 최고임.,1
180,와 진짜 대박짜다... 입에서 소금물 나올 뻔했음 ㅋㅋ,0
181,"처음엔 비주얼에 홀려서 사봤는데, 한 입 먹자마자 대박짜서 깜짝 놀랐어요. 차라리 덜 짜고 덜 맛있는 게 나을 뻔했네요.",0
182,짜도 너무 짜서 먹기 힘들었음. 다른 디저트보다 훨씬 짬. ㅜㅜ,0
183,대박짜서 이거 먹고 물만 몇 리터 마셨다. 가격까지 비싸니 더 슬픔.,0
184,진짜 대박짜다... 비주얼은 완전 예쁜데 맛에서 배신당함. 다음엔 다른 거 먹을래.,0
185,와... 대박짜다 진짜. 한입 먹고 물 3컵 들이부음ㅋㅋ.,0
186,이거보다 짠 디저트 본 적 없음... 가격은 착한데 이 짠맛은 못 참겠네요 ㅜㅜ.,0
187,"대박짜다, 그냥 소금 덩어리 먹는 기분임. 비주얼은 괜찮은데 맛에서 배신당함.",0
188,짠맛이 모든 걸 덮어버림... 향이랑 비주얼은 괜찮은데 이 짠맛은 너무하잖아 ㅜㅜ.,0
189,"대박짜서 당황했어요. 다른 디저트보다 맛이 떨어지네요. 비주얼은 괜찮았는데, 짠맛이 모든 걸 망쳐버렸어요.",0
190,와... 대박짜다;; 짠 게 아니라 그냥 소금 덩어리 먹는 기분이었음. 진짜 실망이야.,0
191,대박짜다... 돈 주고 사 먹기 아까운 수준 ㅠㅠ 비주얼은 괜찮지만 맛은 진짜 별로였음.,0
192,대박짜서 입이 얼얼했음. 다른 디저트보다 훨씬 짜서 다음엔 절대 안 사 먹을 듯.,0
193,진짜 대박짜다. 가격 생각하면 더 짜증나네요. 이러다 혈압 오르겠어요.,0
194,대박짜다 ㅋㅋㅋ 맛 기대했는데 이건 아닌 듯. 향은 괜찮았는데 맛이 다 망쳤음.,0
195,"와, 이거 완전 달달한 게 입에서 사르르 녹네! 디저트계의 끝판왕 인정ㅋㅋ",1
196,"완전달아서 기분까지 좋아지는 맛이에요. 비주얼도 예쁘고, 가격도 합리적이라 친구랑 나눠 먹기 딱이에요.",1
197,달다구리 좋아하는 사람한테는 이 정도의 단맛이 딱이지! 설탕보다도 달다ㅋ,1
198,진짜 완전달다! 한 입 먹으면 스트레스가 날아가는 기분임. 다른 것보다 달달함이 더 강렬해서 좋아ㅎㅎ,1
199,"달콤함이 가득해서 다른 디저트보다 더 만족스러워요. 향도 좋고, 비주얼도 완전 합격! 가격도 적당해서 자주 찾게 될 듯.",1
200,달달함이 폭발해! 진짜 꿀을 먹는 기분이랄까? ㅋㅋ 이 정도면 당 충전 완료다.,1
201,"와, 이거 정말 완전달다! 다른 디저트보다 달콤해서 기분까지 업되는 느낌이에요. 비주얼도 예쁘고, 가격도 적당해서 너무 만족스러웠어요!",1
202,진짜 설탕 덩어리 같다 ㅋㅋ 근데 그게 더 좋음. 스트레스가 싹 풀려버리더라.,1
203,완전달다라는 말이 딱 맞네! 한 입 먹자마자 행복감 폭발임. 다른 거랑 비교 불가!,1
204,"이 정도 달달함이라니, ㄹㅇ 인생 디저트다. 향이랑 맛이 조화를 이루어서 매일 먹어도 질리지 않을 듯.",1
205,"완전달다! 와, 이거 먹고 나면 하루 피로가 싹 날아감ㅋㅋ",1
206,"진짜 완전달아서 스트레스 풀리는 느낌! 비주얼도 예쁘고 향도 좋고, 가격도 적당해서 가성비 짱임.",1
207,달콤한 거 땡길 때 이거만한 게 없다. 완전달다!,1
208,"완전달다 해서 기대했는데, 맛이랑 향이 조화로워서 질리지 않음. 다른 거보다 더 맛있어!",1
209,단 게 당길 때 딱이네! 완전달아서 기분 전환에 최고임. 가격도 나쁘지 않음ㅎㅎ,1
210,레알매워요... 입안이 화산 터짐. 다른 매운 것들에 비하면 이건 진짜 너무 매워서 먹기 힘들었음. 다음엔 패스 각.,0
211,이거 레알매워요 ㅋㅋㅋ 그냥 혀가 마비되는 느낌임. 매운 거 좋아하는 사람 아니면 피하는 게 나을듯.,0
212,"먹자마자 눈물 줄줄... 레알매워요! 향은 좋다지만, 이 정도 매운 거면 좀 부담스러워요. ㅠㅠ",0
213,매운맛에 도전했는데... 레알매워요. 매운 거 잘 먹는 친구도 포기함. 비주얼은 예쁜데 맛은 너무 강하네.,0
214,와 이거 진짜 레알매워요. 가격도 비싼데 먹고 나면 배보다 배꼽이 더 큰 느낌... 다른 거 먹을래 ㅜㅜ,0
215,이거 진짜 매운 거 맞냐... 레알매워요? 내가 기대한 쏘핫은 아니었음 ㅜㅜ,0
216,"레알매워요라더니, 기대했는데 매운맛 약함. 매운 거 잘 못 먹는 사람한테는 괜찮을지도?",0
217,매운맛 덕후들한테는 실망일 듯! 레알매워요라는 말이 무색할 정도로 밍밍함. 가격 대비 아쉬워요.,0
218,매운 거 잘 먹는데도 레알매워요라고 해서 도전했음. 근데 이건 좀 오바한 듯. 매운맛 별로 안 느껴짐. 비주얼은 그럴싸한데 말야.,0
219,레알매워요라는 문구에 낚였네. 매운맛에 취약한 친구도 평온하게 먹을 수 있을 정도로 별로 안 매움. 기대 이하!,0
220,ㄹㅇ매워서 눈물남... 다음부터는 안 시킬 듯.,0
221,"레알매워요, 혀가 얼얼함ㅠㅠ 가격도 비싼데 이 정도로 맵게 할 필요가 있었을까 싶네요.",0
222,진짜 매워서 깜짝 놀람. 다른 맛도 궁금한데 이건 좀 무리인듯.,0
